text,label
لن تعيش طويلا,HIGH
سالاحقك واؤذيك,HIGH
سادمرك بالكامل,HIGH
لن تفلت مني,HIGH
ساجعلك تندم,HIGH
ساؤذيك بشدة,HIGH
حياتك ستنتهي,HIGH
سانتقم منك,HIGH
ساحطمك,HIGH
ساجعلك تعاني,HIGH
ستعيش في جحيم,HIGH
